攤位號	周邊 既刊 新刊	角色 CP	品名	價格	圖片URL
夏-02	新刊	凛世	凛世あさひ本	500	https://pbs.twimg.com/media/HJ-sLQ0aUAAJRRd?format=jpg&name=large
同上	新刊	凛世	色紙	1500	同上
同上	既刊	凛世	既刊*2	600	同上
春-17	再販	あさひ	セット	1500	https://pbs.twimg.com/media/HJcRFrQW4AEPzBS?format=jpg&name=small
秋-12	姊	新團	盒子	500	https://pbs.twimg.com/media/HJz3uDgbAAAeHSW?format=jpg&name=900x900
秋-23	蔡晴	透	全包(透色紙)(價格不含色紙)	3000	https://pbs.twimg.com/media/HJe2V5obMAAgLZP?format=jpg&name=medium
冬-1	姊+RS	社長	新刊	500	https://pbs.twimg.com/media/HKDq0gUboAARtY3?format=jpg&name=large
同上	姊	社長	新刊コピー	200	同上
同上	RS	社長	既刊	500	同上
秋-13	魯巴	嚕卡	1234各1	2500	https://pbs.twimg.com/media/HKE_SmbbsAAZITI?format=jpg&name=4096x4096
秋-6	RS	霧子	融化吊飾	500	https://pbs.twimg.com/media/HJ47QmgbgAEqnJW?format=jpg&name=medium
秋-24	無配	透	無配兩份	0	https://pbs.twimg.com/media/HKHZlVUa0AAYUlk?format=jpg&name=large
